@relation data

@attribute @@class {no,yes}
@attribute document string

@data


yes,'Votaram no PEZAO Agora tomem no CZAO'
no,'cuidado com a poupanca pessoal Lembram o que aconteceu na epoca do Collor ne'
no,'Sabe o que eu acho engracado os nossos governantes  nao pensam em cortar regalias e beneficios desnecessarios que os favorecem porque sera ne e mais do que claro ate mesmo para quem nao quer enxergar eles sao estao la para defender seus proprios interesses  e os dos empresario o no casso eles tambem ou comecamos a tomar uma atitude para mudar de uma vez por todas essa roubalheira nesse pais o a tendencia e so piorar para o povo porque dinheiro para investimentos nao tem mais para aumentos de salario e regalias nao falta'
no,'Podiam retirar dos lucros dos bancos '
no,'CADE O GALVAO PRA NARRAR AGORA   FALIIIIUUUUUUU FALIIIUUUUUUU FALIIUUUUUUU  '
no,'Nao e possivel que deputados tenham tantos cargos comissionados ao seu dispor E esse tipo de coisa que precisa ser cortado'
no,'Sejam honestos aprovem o projeto original vamos acabar com esta farra no Brasil'
no,'Nao a pizza anunciada de anistia do caixa  Sim a divulgacao da lista da Odebrecht'
no,'quem ja viu bandidos fazendo leis contra anticorrupcao '
no,'Olha os caras fazendo algo de util e de interesse publico'
no,'Mas ai o MBL mobiliza o povo e vai pras ruas  ironia'
no,'Enquanto isso o teori segura a bronca no stf'
no,'AVANTE  MEDIDAS o Brasil clama por elas pra cima dos corruptos Cadeia neles'
no,'Havia previsao entrar em plenario no comeco de novembro   E preciso aprovar o projeto de lei  medidas anti corrupcao com mais de dois milhoes de assinaturas   E necessario tambem preservar o conteudo original do projeto  '
no,'baguncado do jeito que esta daqui ha pouco vai ter juiz de primeira instancia mandando grampear ministro do stf se e que ja nao esta acontecendo e depois vai dizer que a prova foi colhida de boa fe a lei da magistratura resquicio da monarquia tambem precisa ser revogada'
no,'Politicos jamais aprovam leis que prejudicam eles direta ou indiretamente esta PEC e um desdobro pela crise que o Brasil esta devido as dezenas e centenas de bilhoes de reais desviados todos os anos pelo Brasil muito dinheiro meu amigo que faz  a diferenca'
no,'Limitar por   ou  anos o salario de politico e a mesma coisa que nada Isso nem faz cocegas para eles pois mesmo que ganhassem o triplo do que ganham nao teriam  por cento do patrimonio e luxo que ostentam'
no,'o problema nem sao os salarios  O PROBLEMA sao as verbas eventuais  desembargador recebendo  MIL  e a justica e cega tem cara pedindo vista nao ta enxergando nadaou se faz de cego ne STF '
no,' para o Judiciario Acreditam mesmo neste indice '
no,'Quem gera a riqueza de uma nacao e o trabalhador Politicos e funcionarios publicos nao geram riqueza eles se utilizam dela E no caso do Brasil roubam mesmo E podem inventar medidas que se nao parar a corrupcao o pais nao mudara nada So vai piorar'
no,'pois aquela novinha para receber alguem  sabe qual e o salario dela aivamos mandar cortar ela'
no,'Renato voce tem toda a razao temos de acabar e com aquele desgoverno passado tipo populista que ao inves de ensinar a pescar quer dar o peixe e com isso se perpetuar no poder a qualquer custo'
no,'Nossa que coisa relevante a mulher dele e voluntaria'
no,'Diminua seu salario tbm presidente Coloque um teto no salario de todos os politicos Estabeleca que o aumento dos seus salarios acompanhem o aumento do salario minimo '
no,'nao esqueca da justica tb juizes desembargadores etc etc'
